title,code,stars,genre,director,actor,writer,highest_percentages,highest_age
인생은아름다워,187821,9.22,뮤지컬,최국희,류승룡,배세영각본,37,30
대부2,10072,9.22,범죄,프란시스포드코폴라,알파치노,프란시스포드코폴라각본,0,0
내사랑,154437,9.22,드라마,에이슬링월쉬,샐리호킨스,쉐리화이트각본,39,20
니모를찾아서3D,32116,9.21,애니메이션,앤드류스탠튼,앨버트브룩스,앤드류스탠튼각본,0,0
칼리토,16217,9.21,범죄,브라이언드팔마,알파치노,데이빗코엡각본,0,0
나비효과,38091,9.21,드라마,에릭브레스,애쉬튼커쳐,마키에그러버각본,0,0
그린마일,28677,9.21,범죄,프랭크다라본트,톰행크스,프랭크다라본트각본,0,0
빅,10600,9.21,코미디,페니마샬,톰행크스,게리로스각본,100,30
특전유보트,10647,9.21,드라마,볼프강페터젠,주겐프로크노,볼프강페터젠각본,0,0
눈의여왕4,190395,9.21,애니메이션,로버트렌스,양정화,None,46,30
테이큰,47152,9.21,액션,피에르모렐,리암니슨,뤽베송각본,0,0
바이올렛에버가든-영원과자동수기인형-,181286,9.21,애니메이션,후지타하루카,전체관람가,이시다테타이치감수,76,20
뚜르:내생애최고의49일,142304,9.21,다큐멘터리,임정하,이윤혁,임정하제작,36,20
스타이즈본,168050,9.21,드라마,브래들리쿠퍼,브래들리쿠퍼,윌페터스각본,57,20
첫키스만50번째,38227,9.21,멜로/로맨스,피터시걸,아담샌들러,조지윙각본,68,20
쥬만지,17440,9.21,모험,조존스톤,로빈윌리엄스,조나단헨슬레이각본,0,0
타짜,57723,9.21,범죄,최동훈,조승우,최동훈각본,46,30
캐치미이프유캔,34522,9.21,범죄,스티븐스필버그,레오나르도디카프리오,제프나단슨각본,0,0
스파이더맨:뉴유니버스,171725,9.21,애니메이션,밥퍼시케티,샤메익무어,필로드각본,50,20
스팅,10047,9.21,코미디,조지로이힐,폴뉴먼,데이빗워드각본,0,0
오베라는남자,139613,9.21,드라마,하네스홀름,롤프라스가드,하네스홀름각본,40,20
서유기-월광보합,18542,9.21,코미디,유진위,주성치,기안각본,0,0
슈퍼소닉,151106,9.21,다큐멘터리,맷화이트크로스,노엘갤러거,제임스게이리즈제작,64,20
라디오스타,58088,9.21,코미디,이준익,박중훈,최석환각본,0,0
스쿨오브락,37486,9.21,코미디,리처드링클레이터,잭블랙,마이크화이트각본,0,0
스파이지니어스,172780,9.2,애니메이션,닉브루노,윌스미스,브래드코펠랜드각본,36,30
프레데터,10061,9.2,액션,존맥티어난,아놀드슈왈제네거,짐토머스각본,0,0
눈길,134772,9.2,드라마,이나정,김영옥,유보라각본,53,20
혹성탈출,11002,9.2,SF,프랭클린J.샤프너,찰톤헤스톤,마이클윌슨각본,0,0
"서서평,천천히평온하게",160135,9.2,다큐멘터리,홍주연,하정우,한지원각본,33,30
어메이징메리,143469,9.2,드라마,마크웹,크리스에반스,톰플린각본,42,20
어느가족,172174,9.2,드라마,고레에다히로카즈,릴리프랭키,고레에다히로카즈각본,36,20
대부3,10561,9.2,범죄,프란시스포드코폴라,알파치노,마리오푸조각본,0,0
시간을달리는소녀,63513,9.2,애니메이션,호소다마모루,나카리이사,오쿠데라사토코각본,52,20
과속스캔들,51143,9.2,코미디,강형철,차태현,강형철각본,0,0
페이트스테이나이트헤븐즈필제3장스프링송,195687,9.2,애니메이션,스도토모노리,스기야마노리아키,None,69,20
천장지구,11003,9.2,액션,진목승,유덕화,진목승각본,0,0
"내어깨위고양이,밥",154379,9.2,드라마,로저스포티스우드,루크트레더웨이,마리아네이션각본,42,30
너에게가는길,203715,9.19,다큐멘터리,변규리,정은애,변규리구성,48,20
"불량소녀,너를응원해!",138877,9.19,드라마,도이노부히로,아리무라카스미,하시모토히로시각본,62,20
공공의적,32610,9.19,범죄,강우석,설경구,김현정각본,0,0
파수꾼,75378,9.19,드라마,윤성현,이제훈,윤성현각본,50,20
파앤드어웨이,13234,9.19,드라마,론하워드,톰크루즈,론하워드각본,100,20
뻐꾸기둥지위로날아간새,10688,9.19,드라마,밀로스포먼,잭니콜슨,로렌스하우벤각본,100,40
킹오브프리즘,152160,9.19,드라마,히시다마사카즈,카키하라테츠야,None,60,20
